trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5995002499166875, 'e': 0.999000499833375}",25,0,-121.3749395590482,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5990009993336666, 'e': 0.9980019986673331}",20,0,-48.5581537206719,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5985022477516865, 'e': 0.997004495503373}",20,0,-58.44234086686906,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5980039946719957, 'e': 0.9960079893439915}",35,0,-146.47012591316053,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5975062395963412, 'e': 0.9950124791926823}",20,0,-91.46979717749426,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5970089820269676, 'e': 0.9940179640539353}",25,12,-26.87608419809763,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5965122214666175, 'e': 0.9930244429332351}",30,3,-138.8370829457,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 3}",1
8,False,"{'a': 0.5960159574185303, 'e': 0.9920319148370607}",25,0,-266.5148694223553,"{0: 11, 1: 1, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.5955201893864418, 'e': 0.9910403787728836}",30,0,-123.15526914868535,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.595024916874584, 'e': 0.9900498337491681}",20,0,-177.76764914040197,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5945301393876844, 'e': 0.9890602787753687}",20,0,-37.613323801561734,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5940358564309652, 'e': 0.9880717128619305}",20,0,-98.47143940971058,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5935420675101438, 'e': 0.9870841350202876}",25,13,-70.23061729470926,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5930487721314309, 'e': 0.9860975442628619}",25,0,-203.29895475059377,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 2}",0
15,False,"{'a': 0.5925559698015314, 'e': 0.9851119396030626}",20,0,-48.40497262963336,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5920636600276425, 'e': 0.9841273200552851}",30,0,-106.44822810975137,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.5915718423174549, 'e': 0.9831436846349096}",20,0,-111.37009991851447,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5910805161791504, 'e': 0.9821610323583008}",30,0,-152.51904063074966,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.590589681121403, 'e': 0.981179362242806}",20,0,-97.36237895947592,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5900993366533777, 'e': 0.9801986733067553}",20,0,-89.12979409909866,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5896094822847298, 'e': 0.9792189645694596}",25,0,-77.59820976234722,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.589120117525605, 'e': 0.97824023505121}",25,0,-89.5383685379499,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5886312418866385, 'e': 0.9772624837732771}",30,0,-208.7111609664981,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
24,False,"{'a': 0.5881428548789547, 'e': 0.9762857097579093}",25,0,-149.16189604540844,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.5876549560141663, 'e': 0.9753099120283326}",25,0,-175.2845280249717,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
26,False,"{'a': 0.5871675448043747, 'e': 0.9743350896087494}",30,0,-189.96485468847484,"{0: 14, 1: 8, 2: 4, 3: 2, 4: 2}",0
27,False,"{'a': 0.5866806207621684, 'e': 0.9733612415243368}",30,0,-137.87720830782925,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.5861941834006235, 'e': 0.9723883668012469}",30,0,-99.3950983624537,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5857082322333024, 'e': 0.9714164644666048}",20,0,-97.36906061171786,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.5852227667742541, 'e': 0.9704455335485082}",25,0,-22.535486862258903,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.584737786538013, 'e': 0.9694755730760259}",30,7,-33.88200621111328,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.5842532910395988, 'e': 0.9685065820791976}",25,0,-143.316480348179,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.583769279794516, 'e': 0.967538559589032}",25,0,-139.42182359476536,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5832857523187533, 'e': 0.9665715046375066}",20,0,-58.97730227612704,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.5828027081287832, 'e': 0.9656054162575665}",25,1,-164.27523929670258,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 2}",1
36,False,"{'a': 0.5823201467415615, 'e': 0.9646402934831231}",20,0,-157.67029861544648,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
37,False,"{'a': 0.5818380676745267, 'e': 0.9636761353490535}",25,0,-5.718428778802681,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5813564704455998, 'e': 0.9627129408911995}",25,0,-127.3664026504947,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.5808753545731834, 'e': 0.9617507091463667}",30,0,-149.20329340337713,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
40,False,"{'a': 0.5803947195761616, 'e': 0.9607894391523232}",20,11,-9.927747976866828,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5799145649738995, 'e': 0.9598291299477989}",20,0,-105.57432194823387,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5794348902862423, 'e': 0.9588697805724845}",20,1,-92.85945429902415,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.5789556950335153, 'e': 0.9579113900670306}",20,0,-134.71893617186785,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
44,False,"{'a': 0.5784769787365234, 'e': 0.9569539574730467}",25,0,-173.9255546894296,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
