trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.33, 'e': 0}",25,0,-135.87738657140486,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.33, 'e': 0}",20,0,-123.43760131993305,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.33, 'e': 0}",20,0,-84.67511008491623,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.33, 'e': 0}",20,6,-103.51156590450016,"{0: 7, 1: 3, 2: 0, 3: 3, 4: 1}",1
5,False,"{'a': 0.33, 'e': 0}",25,0,-143.52791203530012,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.33, 'e': 0}",20,0,-115.9714215075139,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.33, 'e': 0}",30,0,-144.07919196580755,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.33, 'e': 0}",20,0,-57.91959047953724,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.33, 'e': 0}",25,0,-76.21945660910698,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.33, 'e': 0}",20,0,-44.10950658959273,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.33, 'e': 0}",30,0,-106.87887810310446,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.33, 'e': 0}",20,8,-108.42046827143137,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.33, 'e': 0}",20,0,-133.07847347521135,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.33, 'e': 0}",25,0,-156.51148515096497,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.33, 'e': 0}",30,0,-340.99958700656106,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 6}",0
16,False,"{'a': 0.33, 'e': 0}",20,0,-138.4352859670351,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.33, 'e': 0}",20,0,-64.13663799291926,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.33, 'e': 0}",25,0,-187.21352345898592,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
19,False,"{'a': 0.33, 'e': 0}",20,0,-35.390940764965954,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.33, 'e': 0}",20,0,-65.82291728023952,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.33, 'e': 0}",20,0,-191.31604081608035,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.33, 'e': 0}",25,0,-68.25584883841702,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.33, 'e': 0}",20,1,-111.13955933056802,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
4,True,"{'a': 0.33, 'e': 0}",20,1,-14.976403162291664,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.33, 'e': 0}",20,5,-71.64716159987596,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0.33, 'e': 0}",25,0,-174.16990808378998,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.33, 'e': 0}",20,0,-116.63787379052205,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.33, 'e': 0}",20,0,-91.94896724067704,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.33, 'e': 0}",30,0,-107.74777208006472,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.33, 'e': 0}",25,0,-179.09836917401705,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
